1. open,2. high,3. low,4. close,5. volume
522.1100,522.6050,520.9700,521.2100,79070842
523.3900,524.1100,521.9100,522.2000,60256112
515.7700,520.6200,515.0800,520.4800,69594574
512.1500,515.9950,511.1200,515.7100,60755263
514.0000,515.4800,512.4400,512.8600,88893331
510.2100,511.7000,508.1220,509.8300,107646297
516.9700,517.1250,511.8200,514.9500,103493184
517.1100,517.2900,514.4900,515.9700,54438487
513.4500,517.3800,510.8600,516.7800,70833119
510.4800,511.8800,508.5000,511.2800,61872913
515.4600,518.2201,511.1300,511.7200,86532535
513.1400,515.8900,509.8053,514.8100,58652085
510.5500,512.0690,508.4200,509.7500,68382367
510.2400,510.7000,504.9100,507.1800,72855623
512.0300,514.2000,512.0000,512.3000,49799257
508.9800,513.2900,508.5600,512.8500,76844844
508.0700,509.7400,505.3500,508.0800,83924795
505.3300,506.8550,504.9600,506.2600,56506634
506.7000,507.1600,504.7500,506.9300,48854528
508.3000,508.7500,505.8600,505.9900,50386738
509.2700,510.1300,507.1000,507.8500,61321818
504.0100,508.4900,503.0200,507.5000,76402535
495.4200,497.3700,493.5600,497.2100,59603771
497.7200,498.4100,494.4500,496.7600,71736740
501.7000,502.8700,498.7500,499.5100,75532928
499.2900,502.2000,498.7950,502.0100,61682960
496.7900,499.0700,494.4000,498.5700,68387827
494.5300,497.0900,490.7150,494.0800,113099199
501.1700,503.5000,500.2400,500.9800,56502283
498.8400,501.6500,498.4900,501.2000,63979375
498.1000,498.7100,497.2600,498.3200,52343636
496.2900,498.5300,495.3600,498.1000,70556506
493.5200,494.3200,492.0500,493.9800,55918602
493.6950,494.3778,490.2300,492.5500,75757102
489.6500,496.0500,489.3000,494.3500,99228192
484.6300,489.2300,483.8000,489.2000,91891637
488.6200,489.0813,482.8600,482.8800,126011062
490.5600,491.6200,490.1100,490.8900,58618386
487.7300,491.4150,487.1700,491.2700,61322751
487.5900,489.1200,486.5400,487.4100,76641609
487.5750,488.3050,485.3900,488.0300,72524989
487.8100,488.7700,484.8819,485.3900,80222006
484.0100,485.1050,482.8900,484.8600,49945297
484.0100,485.2200,482.7800,483.4500,75844931
477.6500,482.7200,476.5374,482.4300,110834483
474.0100,477.0600,472.4200,476.4900,91856248
471.8200,472.7900,469.8700,472.2900,68843871
475.2600,476.6098,473.0600,474.9300,85014870
477.8400,478.6000,475.2300,476.6800,58026420
477.5900,478.1200,472.2600,476.3500,77940723
474.1600,477.4481,473.8700,476.5600,67310640
